"anio_fiscal","crudo_realizado_usd_bbl","crudo_realizado_label","refino_cash_cost","refino_cash_cost_unidad","refino_cash_cost_label","downstream_op_income","downstream_op_income_unidad","ventas_refinados_km3","crudo_procesado_km3d","filing_url","notas"
2004,31.39,"Average sales price - Oil (US$ per barrel), tabla de produccion del Upstream; precio de transferencia fijado por YPF que refleja el precio de mercado argentino",7.2,"Ps/bbl","Refining cost per barrel (MD&A Refining and Marketing)",1324,"Ps millones",NA,48.8,"https://www.sec.gov/Archives/edgar/data/904851/000119312505135966/d20f.htm","Refinerias propias (La Plata, Lujan de Cuyo, Plaza Huincul); throughput crudo+feedstock 112,0 mmbbl; utilizacion 93,1%. Sin tabla de volumen de ventas de refinados de YPF en este 20-F. Moneda de los estados: Ps (GAAP argentino)."
2005,35.53,"Average sales price - Oil (US$ per barrel), tabla de produccion del Upstream; precio de transferencia fijado por YPF que refleja el precio de mercado argentino",7.6,"Ps/bbl","Refining cost per barrel (MD&A R&M)",1900,"Ps millones",NA,49.3,"https://www.sec.gov/Archives/edgar/data/904851/000119312506147059/d20f.htm","Throughput crudo+feedstock 113,1 mmbbl. Refining cost 'per barrell' (sic) Ps 7,6."
2006,42.81,"Average sales price - Oil (US$ per barrel), tabla de produccion del Upstream; precio de transferencia fijado por YPF que refleja el precio de mercado argentino",9.3,"Ps/bbl","Refining cost per barrel (MD&A R&M)",258,"Ps millones",NA,51.4,"https://www.sec.gov/Archives/edgar/data/904851/000119312507143924/d20f.htm","Caida del op income de R&M por mayor precio del crudo comprado a E&P (+28%) y a terceros (+21%). Throughput 118,1 mmbbl."
2007,44.57,"Average sales price - Oil (US$ per barrel), tabla de produccion del Upstream; precio de transferencia fijado por YPF que refleja el precio de mercado argentino",10.7,"Ps/bbl","Refining cost per barrel = costo de ventas del segmento menos compras de crudo y depreciacion, sobre barriles producidos (MD&A R&M)",1234,"Ps millones",NA,53.1,"https://www.sec.gov/Archives/edgar/data/904851/000095010308001000/dp09492_20f.htm","20-F original 15-abr-2008; hubo dos 20-F/A (abr y oct 2008) no usados. El 20-F FY2008 muestra 44,60 para 2007 (vs 44,57 del propio). Refinery output 334 mbbl/d incl. 50% Refinor."
2008,42.32,"Average sales price - Oil (US$ per barrel), tabla de produccion del Upstream; precio de transferencia fijado por YPF que refleja el precio de mercado argentino",12.7,"Ps/bbl","Refining cost per barrel = costo de ventas del segmento menos compras de crudo, sobre barriles producidos (MD&A R&M)",3089,"Ps millones",NA,52.5,"https://www.sec.gov/Archives/edgar/data/904851/000119312509141626/d20f.htm","Ano critico: crudo domestico 42,32 vs Brent/WTI ~100. Res 394/2007: precio de exportacion tope US$42/bbl. El 20-F FY2008 reporta 2006 = 42,65 (vs 42,81 propio)."
2009,41.88,"Average oil sales price - Argentina (Ps./boe), tabla 'average production costs and sales price by geographic area'; convertido a USD con TC promedio del propio 20-F",14.8,"Ps/bbl","Refining cost per barrel = costos de produccion del segmento menos compras de crudo, sobre barriles producidos (MD&A R&M)",1896,"Ps millones",NA,49.7,"https://www.sec.gov/Archives/edgar/data/904851/000119312510149744/d20f.htm","Primer ano sin tabla en US$/bbl: precio en Ps/boe (157,05 Argentina; 157,28 total). USD implicito = 157,05/3,75 = 41,88. TC promedio 3,75 informado en el propio 20-F."
2010,49.37,"Average oil sales price - Argentina (Ps./boe), tabla 'average production costs and sales price by geographic area'; convertido a USD con TC promedio del propio 20-F",17.8,"Ps/bbl","Refining costs per barrel, misma definicion que 2009 (MD&A R&M)",3313,"Ps millones",NA,49,"https://www.sec.gov/Archives/edgar/data/904851/000120864611000183/c104567.htm","Ps/boe 193,53 Argentina (193,62 total); USD implicito 49,37 con TC 3,92."
2011,58.96,"Average oil sales price - Argentina (Ps./boe), tabla 'average production costs and sales price by geographic area'; convertido a USD con TC promedio del propio 20-F",22.9,"Ps/bbl","Refining costs per barrel, misma definicion (MD&A R&M, 20-F FY2011)",3649,"Ps millones",NA,46.6,"https://www.sec.gov/Archives/edgar/data/904851/000120864612000138/c106652.htm","Ps/boe 244,69 Argentina (245,86 total); USD implicito 58,96 con TC 4,15. Ultimo 20-F bajo GAAP argentino. Throughput crudo/feedstock 107 mmbbl (el 20-F FY2012 desagrega: solo crudo 103,8)."
2012,69.24,"Average oil sales price - Argentina (Ps./boe), tabla 'average production costs and sales price by geographic area'; convertido a USD con TC promedio del propio 20-F",26.3,"Ps/bbl","Refining cost (other than crude oil purchases) per barrel (MD&A del 20-F FY2013)",3006,"Ps millones",NA,45.9,"https://www.sec.gov/Archives/edgar/data/904851/000119312513178160/d526156d20f.htm","Primer 20-F bajo IFRS y post-expropiacion (filed 26-abr-2013). Ps/boe: Argentina 317,11; ojo: columna 'Total' = 288,71 menor que ambas geografias (anomalia de la tabla, persiste en 20-F FY2013-14). USD implicito 69,24 (Argentina) con TC 4,58. Op income: R&M 3.006 + Chemical 913; el 20-F FY2013 reporta el nuevo segmento Downstream 2012 = 4.095."
2013,70.9,"Average oil sales price - Argentina (Ps./boe), tabla 'average production costs and sales price by geographic area'; convertido a USD con TC promedio del propio 20-F",37.5,"Ps/bbl","Refining cost per barrel (MD&A Downstream)",6721,"Ps millones",NA,44.2,"https://www.sec.gov/Archives/edgar/data/904851/000119312514119270/d699006d20f.htm","Ps/boe 392,77 Argentina; USD implicito 70,90 con TC 5,54. Downstream = R&M + Quimica desde este 20-F (2012 y 2011 re-expresados: 4.095 y 5.466). Tormenta refineria La Plata (abr-2013) redujo procesamiento."
