idempresa,olat,olon,n_obs,sd_km
1376,-34.658476,-58.529443,270,0
10677,-41.60707,-65.35383,294,0
8943,-44.050662,-70.583041,533,0
11024,-34.47597,-58.66318,212,0
9764,-35.425,-60.16962,308,0
1284,-33.67954,-65.46988,833,0
9935,-34.557095,-59.035694,442,0
9405,-34.561286,-58.588248,1083,0
10832,-45.864581,-67.479646,156,0
7544,-34.94349,-57.991692,252,0
2530,-33.46387,-61.49651,366,0
6661,-30.8185,-58.04425,550,0
9854,-34.492969,-58.498379,122,0
2842,-34.934754,-57.930919,700,0
6952,-39.01556,-67.83639,364,0
2359,-34.883186,-57.992644,1226,0
2306,-27.46301,-58.97305,705,0
6113,-32.48409,-58.23017,735,0
1382,-34.58127,-58.57441,130,0
7629,-34.74571,-58.41872,741,0
1589,-34.74712,-58.41938,853,0
3728,-27.79833,-64.27723,1100,0
7953,-31.57865,-60.93658,497,0
8734,-33.299019,-68.020498,292,0
11075,-37.84097,-58.24857,136,0
348,-34.533377,-58.557665,16,0
1195,-36.86558,-57.88169,738,0
6197,-32.901743,-68.696964,60,0
2261,-32.907388,-68.790615,555,0
2263,-32.936618,-68.780501,492,0
2266,-32.981213,-68.789433,486,0
7154,-33.14327,-68.48874,826,0
7157,-33.05244,-68.53621,709,0
5077,-36.89319,-60.31954,734,0
2913,-35.05109,-58.75846,735,0
2910,-34.9998,-58.69938,739,0
1185,-32.76575,-60.74394,869,0
9031,-28.494399,-65.780285,669,0
1428,-33.28113,-63.97718,729,0
6848,-32.621279,-69.348342,16,0
10549,-34.74335,-58.43025,563,0
4861,-24.7871,-65.41646,488,0
2638,-32.81399,-63.87937,743,0
4162,-32.81272,-63.87721,261,0
8952,-31.641336,-63.35416,1150,0
3471,-28.84237,-59.50075,626,0
10243,-24.730568,-65.412224,58,0
11041,-31.40009,-64.17335,70,0
9919,-31.405183,-64.193688,328,0
11030,-31.41158,-64.17542,96,0
11139,-33.00454,-68.64543,246,0
699,-27.61131,-55.32677,713,0
9153,-27.399512,-55.943303,666,0
702,-27.39534,-55.91241,713,0
706,-27.37801,-55.57585,713,0
10053,-27.447562,-55.852582,344,0
701,-27.61489,-55.31413,713,0
5893,-34.80892,-58.3883,854,0
1572,-34.80916,-58.38886,845,0
4324,-26.83588,-65.24645,130,0
5141,-33.372033,-61.173275,145,0
6162,-34.739545,-58.496497,6,0
5911,-28.7584,-59.0117,602,0
7079,-31.43237,-64.24583,1066,0
2461,-35.64414,-59.77326,743,0
2457,-35.6913,-59.78962,742,0
2465,-35.645456,-59.78616,8,0
2444,-35.27361,-59.77315,744,0
8515,-27.573709,-60.722588,1212,0
723,-34.66918,-58.66367,765,0
6499,-34.631909,-68.318004,904,0
6978,-36.86633,-60.16698,741,0
4983,-33.51851,-60.61109,22,0
4970,-32.461856,-60.888111,10,0
4967,-32.461856,-60.888111,36,0
5031,-32.96021,-61.55083,282,0
4890,-33.722488,-62.252236,6,0
8939,-33.146556,-61.281567,22,0
5030,-32.480764,-61.567777,2,0
7211,-33.04862,-61.14762,484,0
5072,-33.462995,-61.486016,4,0
5003,-32.606886,-60.95351,2,0
7425,-33.602278,-61.606323,2,0
4976,-34.178714,-60.725064,4,0
5101,-33.090043,-61.78566,2,0
5067,-32.82304,-61.381786,2,0
4982,-33.496324,-60.513611,342,0
7470,-27.235338,-61.193739,2,0
8001,-32.58527,-61.1693,174,0
5143,-33.016,-61.04831,484,0
5043,-31.76615,-61.81218,4,0
6840,-33.433971,-60.772901,2,0
8938,-33.239488,-60.81543,40,0
