provincia|localidad|dep_nuevo|confianza|justificacion
BUENOS AIRES|EXALTACION DE LA CRUZ|Exaltación de la Cruz|alta|georef por ID + dir RN8 km 82 (Parada Robles); Bahía Blanca era basura del bug
BUENOS AIRES|JAUREGUI|Luján|alta|Jáuregui/Villa Flandria es Luján; Almirante Brown era basura del bug
BUENOS AIRES|SAN NICOLAS|San Nicolás|alta|dir Av Gral Savio 1510 (SOMISA); Comuna 1 = ambigüedad provincia-por-nombre (CABA)
BUENOS AIRES|URQUIZA|Pergamino|alta|dir RUTA 8 KM 206 = Urquiza, partido Pergamino; Comuna 12 = ambigüedad CABA
BUENOS AIRES|LA NIÑA|9 de Julio|alta|La Niña es el pueblo rural de 9 de Julio; Arrecifes = fuzzy match errado de pasada 1
BUENOS AIRES|LOS CARDALES|Exaltación de la Cruz|alta|2-3 de 3 estaciones en el casco (Libertador San Martín y Moreno; Río Luján 778); la de colectora RP6 es borde con Campana
BUENOS AIRES|MALVINAS ARGENTINAS|Malvinas Argentinas|media|est 1499 (RN8 y RN197=Tortuguitas) y 3326 (Av San Martín 1385=Ing Sourdeaux) son MA; est 882/883 (AUSOL km 36.5) están físicamente en Escobar — mayoría+nombre
BUENOS AIRES|R. SOURDEAUX|Malvinas Argentinas|alta|Ingeniero Adolfo Sourdeaux (georef); misma dir que est 3326 (Av San Martín 1385)
BUENOS AIRES|TORTUGAS|Escobar|alta|dir RUTA 9 KM 36.5 = Panamericana ramal Campana; el complejo OPESSA/YPF de AUSOL km 36.5 está en zona Garín (Escobar) según guías; NO es Tortuguitas (eso sería RN8)
BUENOS AIRES|LOPEZ ARIAS|San Nicolás|alta|el operador es 'COOPERATIVA AGRICOLA CONESA LIMITADA' (Conesa = partido San Nicolás) y la dir RN188 km 24.5 coincide con la zona de Conesa
BUENOS AIRES|PARAJE POLOLA|General Pueyrredón|alta|La Polola = paraje de la jurisdicción de Batán, partido Gral. Pueyrredón (prensa local, mapcarta); NOTA: la est está en km 25.3 y el límite con Gral. Alvarado ronda km 23 — pegada al borde
CORDOBA|FERREYRA|Capital|alta|Ferreyra = barrio SE de Córdoba capital (dir Av Amadeo Sabattini 5815); Lavalle era basura del bug
CORDOBA|LAS PEÑAS|Totoral|alta|dir RN9 KM 803 = Las Peñas (Totoral); la homónima de Río Cuarto es Las Peñas Sud
CORDOBA|ALTO GRANDE|San Alberto|alta|georef /asentamientos (BAHRA): 'Alto Grande, Córdoba, San Alberto, Paraje'; dir RP15 consistente
CORDOBA|LAS ENSENADAS|Río Cuarto|media|dir RN35 km 695 (Río Cuarto ciudad ~km 690) = dpto Río Cuarto
CHACO|CNEL. DUGRATY|Mayor Luis J. Fontana|alta|mismo dpto real que VILLA ANGELA; se unifica al string oficial georef (era 'Mayor Luis Jorge Fontana' y partía el mercado)
ENTRE RIOS|COSTA GRANDE|Diamante|alta|Costa Grande es distrito de Diamante; dir RP11 km 61 consistente
ENTRE RIOS|ISLA DEL IBICUY|Islas del Ibicuy|alta|georef; dir RN12 km 134 y Ribera Paraná Guazú
