provincia,localidad,departamento,fuente
BUENOS AIRES,17 DE AGOSTO,Puán,georef
BUENOS AIRES,25 DE MAYO,25 de Mayo,georef
BUENOS AIRES,3 DE FEBRERO,Tres de Febrero,georef
BUENOS AIRES,30 DE AGOSTO,Trenque Lauquen,georef
BUENOS AIRES,9 DE ABRIL,Esteban Echeverría,georef
BUENOS AIRES,9 DE JULIO,9 de Julio,georef
BUENOS AIRES,ABASTO,La Plata,georef
BUENOS AIRES,ACASSUSO,San Isidro,georef
BUENOS AIRES,ACEVEDO,Pergamino,georef
BUENOS AIRES,ADOLFO GONZALEZ CHAVEZ,Adolfo Gonzales Chaves,georef
BUENOS AIRES,ADROGUE,Almirante Brown,georef
BUENOS AIRES,AGUSTIN FERRARI,Merlo,manual
BUENOS AIRES,AGUSTIN ROCA,Junín,georef
BUENOS AIRES,ALBERDI,Leandro N. Alem,georef
BUENOS AIRES,ALBERTI,Alberti,georef
BUENOS AIRES,ALDO BONZI,La Matanza,georef
BUENOS AIRES,ALEJANDRO KORN,San Vicente,georef
BUENOS AIRES,ALEM,Leandro N. Alem,georef
BUENOS AIRES,ALFONZO,Pergamino,georef
BUENOS AIRES,ALGARROBO,Carlos Tejedor,georef
BUENOS AIRES,AMEGHINO,Florentino Ameghino,georef
BUENOS AIRES,AMERICA,Rivadavia,georef
BUENOS AIRES,ARENAZA,Lincoln,georef
BUENOS AIRES,ARRECIFES,Arrecifes,georef
BUENOS AIRES,ARRIBEÑOS,General Arenales,georef
BUENOS AIRES,ARROYO DULCE,Salto,georef
BUENOS AIRES,ASCENSION,General Arenales,georef
BUENOS AIRES,AVELLANEDA,Avellaneda,georef
BUENOS AIRES,AYACUCHO,Ayacucho,georef
BUENOS AIRES,AZOPARDO,Puán,georef
BUENOS AIRES,AZUL,Azul,georef
BUENOS AIRES,BAHIA BLANCA,Bahía Blanca,georef
BUENOS AIRES,BALCARCE,Balcarce,georef
BUENOS AIRES,BANCALARI,Tigre,manual
BUENOS AIRES,BANDERALO,General Villegas,georef
BUENOS AIRES,BANFIELD,Lomas de Zamora,georef
BUENOS AIRES,BARADERO,Baradero,georef
BUENOS AIRES,BECCAR,San Isidro,georef
BUENOS AIRES,BELLA VISTA,San Miguel,georef
BUENOS AIRES,BENAVIDEZ,Tigre,georef
BUENOS AIRES,BENITO JUAREZ,Benito Juárez,georef
BUENOS AIRES,BERAZATEGUI,Berazategui,georef
BUENOS AIRES,BERISSO,Berisso,georef
BUENOS AIRES,BERNAL,Quilmes,georef
BUENOS AIRES,BILLINGHURTS,General San Martín,georef
BUENOS AIRES,BOLIVAR,Bolívar,georef
BUENOS AIRES,BONIFACIO,Guaminí,manual
BUENOS AIRES,BORDENAVE,Puán,georef
BUENOS AIRES,BOSQUES,Florencio Varela,georef
BUENOS AIRES,BOULOGNE,San Isidro,georef
BUENOS AIRES,BRAGADO,Bragado,georef
BUENOS AIRES,BRANDSEN,Brandsen,georef
BUENOS AIRES,BURZACO,Almirante Brown,georef
BUENOS AIRES,CABILDO,Bahía Blanca,georef
BUENOS AIRES,CACHARI,Azul,georef
